Name,Team,Height_in,Weight_lb,Position
Aaron Donald,Los Angeles Rams,74,280,DT
Alvin Kamara,New Orleans Saints,70,215,RB
Amon-Ra St. Brown,Detroit Lions,72,202,WR
Andrew Thomas,New York Giants,77,315,OT
Bijan Robinson,Atlanta Falcons,73,224,RB
Bobby Wagner,Seattle Seahawks,72,241,LB
Breece Hall,New York Jets,71,220,RB
Brock Purdy,San Francisco 49ers,73,220,QB
CeeDee Lamb,Dallas Cowboys,74,198,WR
Chris Jones,Kansas City Chiefs,78,315,DT
Chris Lindstrom,Atlanta Falcons,76,307,OG
Christian McCaffrey,San Francisco 49ers,71,205,RB
Creed Humphrey,Kansas City Chiefs,76,320,C
Dak Prescott,Dallas Cowboys,75,238,QB
Davante Adams,Las Vegas Raiders,73,215,WR
De’Von Achane,Miami Dolphins,68,190,RB
Deebo Samuel,San Francisco 49ers,72,215,WR
Denzel Ward,Cleveland Browns,71,190,CB
Derrick Henry,Baltimore Ravens,75,247,RB
Derwin James,Los Angeles Chargers,74,215,S
Dexter Lawrence,New York Giants,76,342,DT
Fred Warner,San Francisco 49ers,75,236,LB
George Kittle,San Francisco 49ers,76,250,TE
Ja’Marr Chase,Cincinnati Bengals,72,201,WR
Jalen Hurts,Philadelphia Eagles,75,223,QB
Jalen Ramsey,Miami Dolphins,73,208,CB
Jason Kelce,Philadelphia Eagles,75,295,C
Joe Burrow,Cincinnati Bengals,76,215,QB
Jonathan Taylor,Indianapolis Colts,70,226,RB
Josh Allen,Buffalo Bills,78,237,QB
Josh Jacobs,Green Bay Packers,70,223,RB
Justin Herbert,Los Angeles Chargers,78,236,QB
Justin Jefferson,Minnesota Vikings,73,195,WR
Justin Tucker,Baltimore Ravens,73,183,K
Kyle Hamilton,Baltimore Ravens,76,220,S
Lamar Jackson,Baltimore Ravens,74,212,QB
Lane Johnson,Philadelphia Eagles,78,325,OT
Mark Andrews,Baltimore Ravens,77,247,TE
Micah Parsons,Dallas Cowboys,75,245,LB
Minkah Fitzpatrick,Pittsburgh Steelers,73,207,S
Myles Garrett,Cleveland Browns,76,272,EDGE
Nick Bosa,San Francisco 49ers,76,266,EDGE
Nick Chubb,Cleveland Browns,71,227,RB
Patrick Mahomes,Kansas City Chiefs,75,230,QB
Patrick Surtain II,Denver Broncos,74,202,CB
Penei Sewell,Detroit Lions,77,335,OT
Puka Nacua,Los Angeles Rams,74,212,WR
Quenton Nelson,Indianapolis Colts,77,330,OG
Quinnen Williams,New York Jets,75,303,DT
Roquan Smith,Baltimore Ravens,73,236,LB
Sam LaPorta,Detroit Lions,75,245,TE
Saquon Barkley,Philadelphia Eagles,72,233,RB
Sauce Gardner,New York Jets,75,190,CB
Stefon Diggs,Houston Texans,72,191,WR
T.J. Hockenson,Minnesota Vikings,77,248,TE
T.J. Watt,Pittsburgh Steelers,76,252,EDGE
Travis Kelce,Kansas City Chiefs,77,250,TE
Trent Williams,San Francisco 49ers,77,320,OT
Trevor Lawrence,Jacksonville Jaguars,78,220,QB
Tua Tagovailoa,Miami Dolphins,72,209,QB
Tyreek Hill,Miami Dolphins,70,191,WR
Tyron Smith,Dallas Cowboys,77,320,OT
Zack Martin,Dallas Cowboys,76,315,OG
